Mineral name,Chemical formula,Subgroup,Group,Machine readable formula, Elemental wt%,Oxide wt%
mimetite,Pb5(AsO4)3Cl,apatite group,arsenate,"[['Pb', 5, 2], ['As', 3, 5], ['O', 12, -2], ['Cl', 1, 1]]","{'Pb': 69.61, 'As': 15.1, 'O': 12.9, 'Cl': 2.38}","{'PbO': 74.99, 'As2O5':  23.17, 'Cl': 1.84}"
adamite,Zn2(AsO4)(OH),olivenite group,arsenate,"[['Zn', 2, 2], ['As', 1, 5], ['O', 5, -2], ['H', 1, 1]]","{'Zn': 45.61, 'As': 26.13, 'O': 27.9, 'H': 0.35}","{'PbO': 56.78, 'As2O5':  40.08, 'H2O': 3.14}"
olivenite,Cu2(AsO4)(OH),olivenite group,arsenate,"[['Cu', 2, 2], ['As', 1, 5], ['O', 5, -2], ['H', 1, 1]]","{'Cu': 44.91, 'As': 26.47, 'O': 28.27, 'H': 0.36}","{'CuO': 56.21, 'As2O5':  40.61, 'H2O': 3.18}"
eveite,Mn2+2(AsO4)(OH),olivenite group,arsenate,"[['Mn', 2, 2], ['As', 1, 5], ['O', 5, -2], ['H', 1, 1]]","{'Mn': 41.34, 'As': 28.19, 'O': 30.1, 'H': 0.38}","{'MnO': 53.38, 'As2O5':  43.24, 'H2O':3.39}"
fluor-apatite,Ca5(PO4)3F,apatite group,phosphate,"[['Ca', 5, 2], ['P', 3, 5], ['O', 12, -2], ['F', 1, 1]]","{'Ca': 39.74, 'P': 18.43, 'O': 38.07, 'F': 3.77}","{'CaO': 55.60, 'P2O5': 42.22, 'F':2.18}"
chlorapatite ,Ca5(PO4)3Cl,apatite group,phosphate,"[['Ca', 5, 2], ['P', 3, 5], ['O', 12, -2], ['Cl', 1, 1]]","{'Ca': 38.48, 'P': 17.84, 'O': 36.87, 'Cl': 6.81}","{'CaO': 53.84, 'P2O5': 40.89, 'Cl':5.27}"
hydroxyapatite,Ca5(PO4)3OH,apatite group,phosphate,"[['Ca', 5, 2], ['P', 3, 5], ['O', 13, -2], ['H', 1, 1]]","{'Ca': 39.89, 'P': 18.5, 'O': 41.41, 'H': 0.2}","{'CaO': 55.82, 'P2O5': 42.39, 'H2O':1.79}"
pyromorphite,Pb5(PO4)3Cl,apatite group,phosphate,"[['Pb', 5, 2], ['P', 3, 5], ['O', 12, -2], ['Cl', 1, 1]]","{'Pb': 76.38, 'P': 6.85, 'O': 14.16, 'Cl': 2.61}","{'CaO': 82.28, 'P2O5': 15.70, 'Cl':2.02}"
berzeliite,(NaCa2)Mg2(AsO4)3,garnet group,phosphate,"[['Na', 0.75, 1], ['Ca', 2.25, 2], ['Mg', 2, 2], ['As', 3, 5], ['O', 12, -2]]","{'Na': 2.93, 'Ca': 15.33, 'Mg': 8.55, 'As': 39.54, 'O': 33.77}","{'CaO': 23.44, 'As2O5': 56.76, 'Na2O':4.31, 'MgO': 15.49}"
manganberzeliite,(NaCa2)Mn2+2(AsO4)3,garnet group,phosphate,"[['Na', 1, 1], ['Ca', 2, 2], ['Mn', 2, 2], ['As', 3, 5], ['O', 12, -2]]","{'Na': 3.65, 'Ca': 12.73, 'Mn': 17.45, 'As': 35.69, 'O': 30.49}","{'CaO': 19.1, 'As2O5': 51.46, 'Na2O':5.28, 'MnO': 24.16}"
schäferite,(NaCa2)Mg2(VO4)3,garnet group,phosphate,"[['Na', 1, 1], ['Ca', 2, 2], ['Mg', 2, 2], ['V', 3, 5], ['O', 12, -2]]","{'Na': 4.63, 'Ca': 16.14, 'Mg': 9.79, 'V': 30.78, 'O': 38.66}","{'CaO': 22.56, 'V2O5': 54.94, 'Na2O': 6.24, 'MgO': 16.23}"
monazite*,CePO4,monazite group,phosphate,"[['Ce', 1, 3], ['P', 1, 5], ['O', 4, -2]]","{'Ce': 59.6, 'P': 13.18, 'O': 27.22}","{'Ce2O3': 69.78, 'P2O5': 30.20}"
xenotime,YPO4,xenotime group,phosphate,"[['Y', 1, 3], ['P', 1, 5], ['O', 4, -2]]","{'Y': 48.35, 'P': 16.84, 'O': 34.81}","{'Y2O3': 61.40, 'P2O5': 38.60}"
calcite,Ca(CO3),calcite group,carbonate,"[['Ca', 1, 2], ['C', 1, 4], ['O', 3, -2]]","{'Ca': 40.04, 'C': 12.0, 'O': 47.96}","{'CaO': 56.03, 'CO2': 43.97}"
strontianite,Sr(CO3),aragonite group,carbonate,"[['Sr', 1, 2], ['C', 1, 4], ['O', 3, -2]]","{'Sr': 59.35, 'C': 8.14, 'O': 32.51}","{'SrO':70.19, 'CO2': 29.81}"
witherite,BaCO3,aragonite group,carbonate,"[['Ba', 1, 2], ['C', 1, 4], ['O', 3, -2]]","{'Ba': 69.59, 'C': 6.09, 'O': 24.32}","{'BaO':77.70, 'CO2': 22.30}"
cerussite,PbCO3,aragonite group,carbonate,"[['Pb', 1, 2], ['C', 1, 4], ['O', 3, -2]]","{'Pb': 77.54, 'C': 4.49, 'O': 17.96}","{'PbO':83.53, 'CO2': 16.47}"
siderite,Fe(CO3),calcite group,carbonate,"[['Fe', 1, 2], ['C', 1, 4], ['O', 3, -2]]","{'Fe': 48.2, 'C': 10.37, 'O': 41.43}","{'FeO':62.01, 'CO2': 37.99}"
magnesite,Mg(CO3),calcite group,carbonate,"[['Mg', 1, 2], ['C', 1, 4], ['O', 3, -2]]","{'Mg': 28.83, 'C': 14.25, 'O': 56.93}","{'MgO': 47.80, 'CO2': 52.20}"
rhodochrosite,MnCO3,calcite group,carbonate,"[['Mn', 1, 2], ['C', 1, 4], ['O', 3, -2]]","{'Mn': 47.79, 'C': 10.45, 'O': 41.76}","{'MgO': 61.71, 'CO2': 38.29}"
smithsonite,ZnCO3,calcite group,carbonate,"[['Zn', 1, 2], ['C', 1, 4], ['O', 3, -2]]","{'Zn': 52.14, 'C': 9.58, 'O': 38.28}","{'ZnO': 64.90, 'CO2': 35.10}"
gaspéite,NiCO3,calcite group,carbonate,"[['Ni', 1, 2], ['C', 1, 4], ['O', 3, -2]]","{'Ni': 49.44, 'C': 10.12, 'O': 40.44}","{'NiO': 62.79, 'CO2': 37.14}"
otavite,CdCO3,calcite group,carbonate,"[['Cd', 1, 2], ['C', 1, 4], ['O', 3, -2]]","{'Cd': 65.2, 'C': 6.97, 'O': 27.84}","{'CdO': 74.48, 'CO2': 25.52}"
dolomite,CaMg(CO3)2,dolomite group,carbonate,"[['Ca', 1, 2], ['Mg', 1, 2], ['C', 2, 4], ['O', 6, -2]]","{'Ca': 21.73, 'Mg': 13.18, 'C': 13.03, 'O': 52.06}","{'CaO': 30.39, 'MgO': 21.85, 'CO2':47.76}"
ankerite,"Ca(Fe2+,Mg)(CO3)2",dolomite group,carbonate,"[['Ca', 1, 2], ['Fe', 0.75, 2], ['Mg', 0.25, 2], ['C', 2, 4], ['O', 6, -2]]","{'Ca': 19.26, 'Fe': 20.13, 'Mg': 2.92, 'C': 11.55, 'O': 46.14}","{'CaO': 26.98, 'FeO': 25.94, 'MgO': 4.85, 'CO2':42.41}"
kutnohorite,CaMn2+(CO3)2,dolomite group,carbonate,"[['Ca', 1, 2], ['Mn', 1, 2], ['C', 2, 4], ['O', 6, -2]]","{'Ca': 18.64, 'Mn': 25.55, 'C': 11.17, 'O': 44.64}","{'CaO': 26.14, 'MnO': 33.47, 'CO2':40.99}"
minrecordite,CaZn(CO3)2,dolomite group,carbonate,"[['Ca', 1, 2], ['Zn', 1, 2], ['C', 2, 4], ['O', 6, -2]]","{'Ca': 17.77, 'Zn': 29.0, 'C': 10.65, 'O': 42.58}","{'CaO': 24.87, 'ZnO': 36.10, 'CO2':39.04}"
norsethite,BaMg(CO3)2,dolomite group,carbonate,"[['Ba', 1, 2], ['Mg', 1, 2], ['C', 2, 4], ['O', 6, -2]]","{'Ba': 48.76, 'Mg': 8.63, 'C': 8.53, 'O': 34.08}","{'BaO': 54.44, 'ZnO': 14.31, 'CO2':31.25}"
azurite,Cu3(CO3)2(OH)2,nan,carbonate,"[['Cu', 3, 2], ['C', 2, 4], ['O', 8, -2], ['H', 2, 1]]","{'Cu': 55.31, 'C': 6.97, 'O': 37.14, 'H': 0.58}","{'CuO': 69.24, 'H2O': 5.23, 'CO2':25.54}"
malachite,Cu2(CO3)(OH)2,rosasite group,carbonate,"[['Cu', 2, 2], ['C', 1, 4], ['O', 5, -2], ['H', 2, 1]]","{'Cu': 57.48, 'C': 5.43, 'O': 36.18, 'H': 0.91}","{'CuO': 71.95, 'H2O': 8.15, 'CO2':19.90}"
brucite,Mg(OH)2,brucite group,oxide,"[['Mg', 1, 2], ['O', 2, -2], ['H', 2, 1]]","{'Mg': 41.67, 'O': 54.87, 'H': 3.46}","{'MgO': 69.11, 'H2O': 30.89}"
diaspore,AlO(OH),diaspore group,oxide,"[['Al', 1, 3], ['O', 2, -2], ['H', 1, 1]]","{'Al': 44.98, 'O': 53.34, 'H': 1.68}","{'Al2O3':84.98, 'H2O': 15.02}"
goethite,FeO(OH),diaspore group,oxide,"[['Fe', 1, 3], ['O', 2, -2], ['H', 1, 1]]","{'Fe': 62.85, 'O': 36.01, 'H': 1.13}","{'Fe2O3':89.86, 'H2O': 10.14}"
katoite,Ca3Al2(OH)12,garnet group,oxide,"[['Ca', 3, 2], ['Al', 2, 3], ['O', 12, -2], ['H', 12, 1]]","{'Ca': 31.78, 'Al': 14.27, 'O': 50.75, 'H': 3.2}","{'CaO':28.54, 'Al2O3': 34.54, 'H2O': 36.77}"
priscillagrewite-(Y),YCa2Zr2Al3O12,garnet group,oxide,"[['Y', 1, 3], ['Ca', 2, 2], ['Zr', 2, 4], ['Al', 3, 3], ['O', 12, -2]]","{'Y': 14.24, 'Ca': 12.84, 'Zr': 29.22, 'Al': 12.96, 'O': 30.75}","{'Y2O3': 18.08, 'Al2O3': 24.47, 'CaO': 17.96 'ZrO2': 39.45}"
